question_number,section,question_id,question_type,correct_answer,correct_answers,alternatives,has_image,image_file,statement
1,Turma 115 -T1- Transformada em objetiva,7401f5a3-58a6-56c7-ba4a-0fcb2a45602e,single,C,C,4,False,,"REC, 33 anos, jardineiro, chega ao atendimento com lesões que se iniciam como nódulos, amolecem, tornam-se ulceradas, localizadas nos membros superiores em cordões linfáticos. Ao exame de cultura, observou-se hifas septadas com conídios em cacho (""margarida""), em relação ao caso acima, responda qual o diagnóstico e forma clínica."
2,Turma 115 -T1- Transformada em objetiva,cfa23db5-66a3-541c-a678-856f9a7ff007,single,B,B,4,False,,"Para a Esporotricose cutâneo-linfática, qual alternativa contém 2 drogas de primeiras escolhas."
3,Turma 115 -T1- Transformada em objetiva,0ff69de8-35b8-5785-a842-1af6c4b91747,single,B,B,4,False,,"Na esporotricose cutâneo-linfática, as lesões iniciam-se como nódulos que evoluem para ulceração ao longo do trajeto linfático. Qual alternativa apresenta a lesão elementar característica desse caso?"
4,Turma 115 -T1- Transformada em objetiva,d605ab3b-7e1e-5d10-9fa4-c9254d0e7b49,single,B,B,4,False,,"LCF, médico, praticante de esportes radicais, 38 anos, refere surgimento há 6 meses de lesão verrucosa em membro inferior, atualmente com odor fétido. O exame micológico direto evidenciou corpos fumagoides. Qual alternativa apresenta o principal agente etiológico desse caso?"
5,Turma 115 -T1- Transformada em objetiva,deda69f3-0463-589d-a7b8-8f5e79f2f40f,single,A,A,4,False,,"Na cromoblastomicose, qual alternativa apresenta corretamente duas possibilidades terapêuticas farmacológicas e duas possibilidades terapêuticas não farmacológicas?"
6,Turma 115 -T1- Transformada em objetiva,73c82ea7-99e4-5d34-b88d-dc2475f4cf39,single,B,B,4,False,,"MMA, com 2 semanas de idade, apresentou infecção de orofaringe e, alguns dias depois, evoluiu com febre, eritema difuso e bolhas flácidas que se romperam facilmente. Qual alternativa apresenta o principal agente etiológico desse quadro?"
7,Turma 115 -T1- Transformada em objetiva,28b94538-3575-51b5-bfd8-ab0e99938975,single,A,A,4,False,,Qual técnica semiológica pode ser encontrada durante o exame físico de um caso de Síndrome da Pele Escaldada Estafilocócica?
8,Turma 115 -T1- Transformada em objetiva,89eb0725-ddcc-5e6f-85bd-f3ec0768530c,single,B,B,4,False,,"VGI, 8 anos, refere que há 4 dias surgiu uma bolha com pus que, após o dessecamento, evoluiu para crostas amareladas, com algumas lesões satélites ao exame físico. Qual alternativa apresenta corretamente o diagnóstico clínico?"
9,Turma 115 -T1- Transformada em objetiva,42aa62e1-3a35-5f90-b0a0-ff0d45f9a6f5,single,A,A,4,False,,"Nos pacientes com impetigo, qual das alternativas apresenta uma possível complicação da doença?"
10,Turma 115 -T1- Transformada em objetiva,6151cfa1-c483-553f-b6f3-c8c57d14e99f,single,C,C,4,False,,"ADF, masculino, 14 anos, apresenta comedões abertos, intensa reação inflamatória, nódulos furunculoides e lesões purulentas na face. Qual alternativa apresenta corretamente o diagnóstico e a classificação da doença?"
11,Turma 115 -T1- Transformada em objetiva,ae312db2-f496-5ab3-86e9-0f9684626aae,single,B,B,4,False,,"Nos casos de acne conglobata, qual alternativa apresenta duas medidas importantes para o manejo da doença?"
